Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Coffee mem`s,,Кофейни; Продажа кофе; Кондитерские изделия,"улица Антонова-Овсеенко, 20",1 этаж,443080,,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.5,45,,,,,,,,,,https://wa.me/79879074848,,,,https://t.me/+79879074848,,,53.212697,50.20207,https://2gis.com/firm/70000001065141189,branch
Кофейная поляна,,Кофейни,"Московское шоссе, 15е",,443080,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,4.7,36,89377947424,,,,,,,,,https://wa.me/79377947424,,,,,,,53.213266,50.182972,https://2gis.com/firm/70000001030230639,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"улица Физкультурная, 90",1 этаж,443058,Безымянка м-н,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+04:00,4.9,20,89272602914,,,,http://cupcup.uds.app/c,,,,,https://wa.me/79270000388,,,,,,,53.209904,50.246404,https://2gis.com/firm/70000001044443041,branch
У Палыча,бутик шоколада,Кофейни; Кондитерские изделия,"Галактионовская, 106а",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+04:00,,,88005558163,,,,http://palich.ru,,,,https://vk.com/palichtm,,,,,https://t.me/palichtm,,,53.19964,50.106899,https://2gis.com/firm/70000001057601148,branch
LO,кофейня,Кофейни,"Врубеля, 15",1 этаж; вход со двора,443086,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,4.6,36,89277621112,,,,,,,,https://vk.com/lo_coffee_samara,https://wa.me/79277621112,,viber://chat/?number=79277621112,,https://t.me/+79277621112,,,53.218881,50.168295,https://2gis.com/firm/70000001076215556,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"Московское шоссе, 4 ст9",1 этаж,443013,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,5.0,21,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.204735,50.145068,https://2gis.com/firm/70000001063502816,branch
Coffee Deli,кофейня,Кофейни,"Ленинградская улица, 86",1 этаж,443020,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,4.3,30,89681025233,,,,http://t.me/delisamara,,,,,https://wa.me/79681025233,,,,,,,53.185072,50.101636,https://2gis.com/firm/70000001066927703,branch
Cup-cup,кофе-бар,Кофейни; Безалкогольные напитки; Кондитерские изделия; Продажа кофе,"улица Ленинская, 168",,443041,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,5.0,2,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.195113,50.111601,https://2gis.com/firm/70000001089520878,branch
Coffee Cup,кофейня,Кофейни; Кондитерские изделия,"улица Николая Баженова, 7",1 этаж,443028,Мехзавод пос.,Красноглинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+04:00,4.4,10,89171472206,,,,,,,,https://vk.com/coffeecup_samara,https://wa.me/79171472206,,viber://chat/?number=79171472206,,https://t.me/+79171472206,,,53.306108,50.285201,https://2gis.com/firm/70000001089663351,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"улица Мичурина, 52",1 этаж,443096,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+04:00,4.8,31,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.202316,50.136404,https://2gis.com/firm/70000001039246475,branch
Pluma,кофейня,Кофейни,"Южное шоссе, 9",,443085,,Куйбышевский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,5.0,1,,,,,,,,,,,,,,,,,53.136185,50.168788,https://2gis.com/firm/70000001093690210,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"улица Ново-Садовая, 307а",1 этаж; холл,443011,,Промышленный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+04:00,4.9,8,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.236296,50.19247,https://2gis.com/firm/70000001067281744,branch
Capucino cup,кофейня,Кофейни; Кондитерские изделия; Хлебобулочные изделия; Продажа кофе; Доставка еды,"6-я просека, 165Б",,443124,,Промышленный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+04:00,4.7,29,89277588130,,,,,,,,,https://wa.me/79277588130,,,,,,,53.242762,50.189612,https://2gis.com/firm/70000001028012081,branch
Bonfix,кофейня,Кофейни,"улица Аэродромная, 47а",3 корпус; 2 этаж,443070,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.3,44,89171106032,,,,,,,,,https://wa.me/79171106032,,,,,,,53.189935,50.190175,https://2gis.com/firm/70000001035843696,branch
Uco cafe,,Кофейни; Кондитерские изделия; Продажа кофе,,,446394,,,,Красноярский район,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,4.5,12,89178138354 (руководитель),89879076728 (предварительный заказ),,,,,,,,https://wa.me/79178138354,,,,,,,53.426342,50.121738,https://2gis.com/firm/70000001067957845,branch
Groz coffee,,Кофейни,"улица 22 Партсъезда, 11",1 этаж,443083,Безымянка м-н,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.8,38,,,,,,,,,https://vk.com/groz.coffee,,,,,,,,53.207167,50.235231,https://2gis.com/firm/70000001074436504,branch
33 пингвина,кафе-мороженое,Кофейни; Мороженое,"Дачная, 2 к1",3 этаж,443013,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+04:00,4.7,14,88001005033 (горячая линия: круглосуточно),,,,http://33pingvina.ru,,,,https://vk.com/33pingvinavsamare,,,,,,,,53.202289,50.140233,https://2gis.com/firm/70000001066944975,branch
Бодрая сова,кофейня,Кофейни,"1-й квартал, 38",1 этаж,443028,Мехзавод пос.,Красноглинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:00-20:00; Вт: 07:00-20:00; Ср: 07:00-20:00; Чт: 07:00-20:00; Пт: 07:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,4.8,49,89376535361,,,,,,,,https://vk.com/bodrayasova63,https://wa.me/79376535361,,viber://chat/?number=79376535361,,https://t.me/+79376535361,,,53.30851,50.288848,https://2gis.com/firm/70000001036564046,branch
Cofix,кофейня,Кофейни,"Московское шоссе 18 километр, 23",2 этаж; напротив Самарские термы,443028,,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,,,,,,,http://cofix.global,,,,https://vk.com/cofixrussia,,,,,https://t.me/cofix_russia,,,53.274534,50.269421,https://2gis.com/firm/70000001093361628,branch
Кофейня №2,,Кофейни,"Московское шоссе, 41",1 этаж,443080,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+04:00,3.6,14,,,,,,,,,https://vk.com/public182766750,,,,,,,,53.222141,50.190864,https://2gis.com/firm/2533804071780014,branch
Cup-cup,кофе-бар,Кофейни,"Скляренко, 26",1 этаж,443086,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+04:00,5.0,1,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.216403,50.160885,https://2gis.com/firm/70000001090244343,branch
от Barista,кофейня,Кофейни,"проспект Кирова, 147",4 этаж,443077,Безымянка м-н,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.8,91,89379840843,,,,,,,,,,,,,,,,53.221009,50.262688,https://2gis.com/firm/70000001029183984,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"Дачная, 24",1 этаж,443013,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+04:00,5.0,27,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.19856,50.144923,https://2gis.com/firm/70000001039246434,branch
Marmelabus,магазин,Кофейни; Кондитерские изделия,"Красноармейская улица, 131",3 этаж,443030,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,,,,,,,http://t.me/marmelabus,,,,,,,,,,,,53.186414,50.129552,https://2gis.com/firm/70000001090354302,branch
Кофейное дерево,кофейня,Кофейни,"бульвар Засамарская слобода, 7",,443032,,Куйбышевский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+04:00,4.9,28,89170331413,,,,,,,,https://vk.com/kofeinoedrevo63,https://wa.me/79170331413,,,,,,,53.147917,50.081094,https://2gis.com/firm/70000001067014945,branch
LucasKitchen,магазин готовой еды,Кофейни; Доставка еды; Кондитерские изделия,"улица Ново-Садовая, 106н",1 этаж,443068,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+04:00,4.0,2,,,,,http://lucas-kitchen.ru,,,,,,,,,,,,53.221987,50.153413,https://2gis.com/firm/70000001083737319,branch
от Barista,кофейня,Кофейни,"Московское шоссе, 205",3 этаж,443095,14-й м-н,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.7,135,89379840843,,,,,,,,,,,,,,,,53.257674,50.235706,https://2gis.com/firm/70000001059737957,branch
Coffetino,,Кофейни,"Аэропорт Курумоч, лит26",3 этаж,443901,Берёза рабочий пос.,Красноглинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+04:00,4.6,28,89179798754,,,,,,,,,https://wa.me/79179798754,,,,,,,53.512239,50.158188,https://2gis.com/firm/70000001069870498,branch
Cofix,кофейня,Кофейни,"Московское шоссе 24 км, 5",,443075,,Красноглинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,5.0,1,,,,,http://cofix.global,,,,https://vk.com/cofixrussia,,,,,https://t.me/cofix_russia,,,53.326095,50.30526,https://2gis.com/firm/70000001093361674,branch
Coffetino,,Кофейни,"Аэропорт Курумоч, лит26",1 этаж,443901,Берёза рабочий пос.,Красноглинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+04:00,4.5,106,89179798754,,,,,,,,,https://wa.me/79179798754,,,,,,,53.512656,50.156469,https://2gis.com/firm/70000001060499813,branch
Delicato,кофейня,Кофейни,"Московское шоссе, 4а ст2",2 этаж,443013,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:30-19:00; Вт: 08:30-19:00; Ср: 08:30-19:00; Чт: 08:30-19:00; Пт: 08:30-19:00; Сб: 10:00-15:00,+04:00,4.4,7,,,,,,,,,,,,,,,,,53.203294,50.145036,https://2gis.com/firm/70000001031651648,branch
Cofix,кофейня,Кофейни,"проспект Кирова, 147",1 этаж,443077,Безымянка м-н,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.2,9,,,,9011vivaland@ru.cofix.store,http://cofix.global,,,,https://vk.com/cofixrussia,,,,,https://t.me/cofix_russia,,,53.220593,50.26195,https://2gis.com/firm/70000001066997031,branch
Paolo Coffee,,Кофейни; Кондитерские изделия,"Московское шоссе, лит Д",1 этаж,443013,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+04:00,5.0,7,,,,,,,,,,https://wa.me/79379893399,,viber://chat/?number=79379893399,,https://t.me/+79379893399,,,53.204417,50.145398,https://2gis.com/firm/70000001067629205,branch
Cofix,кофейня,Кофейни,"Южное шоссе, 5",1 этаж,443085,,Куйбышевский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,2.5,18,,,,9013yuzhnoye@ru.cofix.store,http://cofix.global,,,,https://vk.com/cofixrussia,,,,,https://t.me/cofix_russia,,,53.140017,50.174247,https://2gis.com/firm/70000001070506796,branch
Юни ,эспрессо-бар,Кофейни; Кондитерские изделия,"Куйбышева, 118/1 киоск",,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,5.0,1,89371846464,,,,,,,,https://vk.com/kofeinoedrevo63,https://wa.me/79371846464,,,,https://t.me/+79371846464,,,53.192811,50.092169,https://2gis.com/firm/70000001090099517,branch
Прихожка,кофейня,Кофейни,"Ленинградская улица, 77",1 этаж,443020,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+04:00,,,,,,,,,,,https://vk.com/prikhozhka77,,,,,,,,53.184832,50.101636,https://2gis.com/firm/70000001068172367,branch
Корж,кофейня,Кофейни; Доставка еды,"Самарская улица, 270",1 этаж,443100,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-22:00; Вс: 07:30-22:00,+04:00,4.7,147,88462557707,,,,http://korzhcoffee.ru,,,https://twitter.com/korzh_real,https://vk.com/korzh_coffee,,,,,,,,53.205133,50.123167,https://2gis.com/firm/70000001043471927,branch
Coffeeshop company,,Кофейни,"Аэропорт Курумоч, лит26",3 этаж; зона международных рейсов,443901,Берёза рабочий пос.,Красноглинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+04:00,3.7,3,89277303090,,,,,,,,,https://wa.me/79277303090,,,,,,,53.511873,50.157321,https://2gis.com/firm/70000001077179463,branch
Точка бодрости,,Кофейни,"улица Советской Армии, 181д/3",,443090,,Промышленный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+04:00,4.8,72,,,,,,,,,,,,,,,,,53.229551,50.198492,https://2gis.com/firm/70000001029429571,branch
Galileo,кофейня,Кофейни; Кулинарии,"Московское шоссе, 106",1 этаж,443011,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:30-19:30; Вт: 09:30-19:30; Ср: 09:30-19:30; Чт: 09:30-19:30; Пт: 09:30-19:30; Сб: 09:30-19:30; Вс: 09:30-19:30,+04:00,3.0,2,,,,,,,,,,,,,,,,,53.223515,50.19036,https://2gis.com/firm/70000001066009022,branch
#Кофе163,мини-кофейня,Кофейни; Продажа кофе,"Молодогвардейская улица, 204",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 09:00-18:00,+04:00,4.6,9,89277376739 (единый номер: пн-вс 10:00-19:00),,,,,,,,https://vk.com/coffee_163,https://wa.me/79277376739,,,,,,,53.201932,50.109041,https://2gis.com/firm/70000001018893733,branch
Friend coffee,уличная кофейня,Кофейни,"улица Ново-Садовая, 44",1 этаж,443110,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-19:30; Вт: 07:30-19:30; Ср: 07:30-19:30; Чт: 07:30-19:30; Пт: 07:30-19:30,+04:00,4.0,5,89171101777,,,,http://friend-coffee.ru,,,,https://vk.com/myfriendcoffee,https://wa.me/79171101777,,,,,,,53.21315,50.141148,https://2gis.com/firm/70000001025624554,branch
Кофейня №2,,Кофейни,"Буянова, 1",1 этаж,443041,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 10:00-14:00,+04:00,5.0,5,,,,,,,,,https://vk.com/public182766750,,,,,,,,53.186407,50.114275,https://2gis.com/firm/70000001018262402,branch
Bob pizza,кофейня,Кофейни,"Заводская, 20а",,446394,,,,Красноярский район,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+04:00,,,89025814970,,,,,,,,,https://wa.me/79025814970,,,,,,,53.433714,50.095451,https://2gis.com/firm/70000001090526877,branch
Кофейку?,кофейня,Кофейни,"улица Мичурина, 78",1 этаж,443110,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+04:00,3.0,2,88462051214,,,,,,,,,,,,,,,,53.205763,50.144159,https://2gis.com/firm/70000001079809874,branch
Кофейня,,Кофейни,"Георгия Димитрова улица, 1а",1 этаж,443095,14-й м-н,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+04:00,4.1,18,89645392172,,,,,,,,,https://wa.me/79645392172,,viber://chat/?number=79645392172,,,,,53.250545,50.243676,https://2gis.com/firm/70000001038297801,branch
Кофейня,,Кофейни,"Фасадная, 28",1 этаж,443065,Соцгород м-н,Куйбышевский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-20:30; Вт: 07:30-20:30; Ср: 07:30-20:30; Чт: 07:30-20:30; Пт: 07:30-20:30; Сб: 10:30-20:00; Вс: 10:00-20:00,+04:00,4.2,29,,,,,,,,,,,,,,,,,53.118429,50.084187,https://2gis.com/firm/70000001036018519,branch
Cofico,кофейня,Кофейни,"Садовая, 177",1 этаж,443041,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-16:30; Вт: 08:00-16:30; Ср: 08:00-16:30; Чт: 08:00-16:30; Пт: 08:00-16:30,+04:00,,,89379966196,,,,,,,,,https://wa.me/79379966196,,,,,,,53.195421,50.110614,https://2gis.com/firm/70000001057301804,branch
Something,кофейня,Кофейни,"Долотный переулок, 11",1 этаж,443065,Соцгород м-н,Куйбышевский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+04:00,5.0,16,89297013589,,,,,,,,,,,,,,,,53.120296,50.083742,https://2gis.com/firm/70000001061437008,branch
#Кофе163,мини-кофейня,Кофейни; Продажа кофе; Продажа чая,"улица Ново-Садовая, 181р",3 этаж,443027,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,4.6,9,89277376739 (единый номер: пн-вс 10:00-19:00),,,,,,,,https://vk.com/coffee_163,,,,,,,,53.219234,50.164261,https://2gis.com/firm/70000001018894203,branch
hoba,,Кофейни,"Высоцкого, 10",1 этаж,443020,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+04:00,,,89171232662,,,,http://t.me/hobasmr,,,,,https://wa.me/79171232662,,,,,,,53.186667,50.100127,https://2gis.com/firm/70000001093625178,branch
Соседи,,Кофейни; Точки кофе,"Куйбышева, 84",1 этаж; напротив магазина Рив Гош,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+04:00,5.0,3,,,,,,,,,https://vk.com/sosedi.coffee,,,,,,,,53.18851,50.089346,https://2gis.com/firm/70000001087013977,branch
Гора,фитнес-бар,Кофейни; Спортивное питание,"Красноармейская улица, 153",1 этаж; фитнс-клуб Гора,443030,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+04:00,,,,,,,,,,,,,,,,,,,53.188641,50.131914,https://2gis.com/firm/70000001086760346,branch
Vandal coffee,,Кофейни,,,,,,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+04:00,,,,,,,,,,,,,,,,,,,,,https://2gis.com/firm/70000001076928375,branch
Rikman coffee,,Кофейни; Кондитерские изделия,"Дачная, 2 к2",1 этаж; компания Смартс,443013,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:30-18:00; Вт: 07:30-18:00; Ср: 07:30-18:00; Чт: 07:30-18:00; Пт: 07:30-18:00,+04:00,4.9,25,89272166680,,,,,,,,,https://wa.me/79272166680,,,,https://t.me/rikman_coffee,https://t.me/+79272166680,,53.201404,50.141261,https://2gis.com/firm/70000001042048650,branch
icoffee,кофейня,Кофейни,"Урицкого, 19",1 этаж,443030,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+04:00,4.8,22,89377953925,,,,,,,,,,,,,,,,53.189161,50.132291,https://2gis.com/firm/70000001035052989,branch
Кофе Хаус,,Кофейни,"Волжское шоссе, 13",1 этаж,443072,Сорокины Хутора,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+04:00,1.0,2,,,,,,,,,,,,,,,,,53.297717,50.243485,https://2gis.com/firm/70000001007484679,branch
